District,Latitude,Longitude
kaithal,29.79742,76.37763
karnal,29.69197,76.98448
kurukshetra,29.97323,76.83214
mahendragarh,23.21327,82.19355
mewat,27.98776531,77.05101549
palwal,28.14264,77.33442
panchkula,30.70459,76.86391
panipat,29.38747,76.96825
rewari,28.199,76.6183
rohtak,28.89764,76.57446
sirsa,29.53957,75.03103
sonipat,28.9953,77.02214
yamunanagar,30.12796,77.28371
bilaspur himachal,31.33912,76.76377
chamba,32.55535,76.12488
hamirpur himachal,31.66771971,76.52647792
kangra,32.10136,76.27312
kinnaur,31.59522128,78.41359664
kullu,31.904116,77.40087414
lahul and spiti,32.48008549,77.61677718
mandi himachal,31.70922,76.93197
shimla,31.10326,77.15844
sirmaur,30.66672821,77.43110009
solan,30.91888,77.09764
una himachal,31.58008186,76.21121914
anantnag,33.72988,75.15084
bandipore,34.41785,74.64124
baramulla,34.19287,74.3692
budgam,34.04126,74.72625
doda,33.14455,75.54472
ganderbal,34.21652,74.77042
jammu,32.70267,74.87843
kathua,32.38589,75.51756
kishtwar,33.31624,75.76513
kulgam,33.64507,75.01765
kupwara,34.52686,74.25742
mirpur,23.93689,88.99858
muzaffarabad,34.37002,73.47082
poonch,33.76971,74.09728
pulwama,33.87351,74.89937
rajouri,33.24393836,74.39195973
ramban,33.24151,75.23696
reasi,33.08202,74.83298
samba,32.60990489,75.05753435
shopian,33.71937,74.83127
srinagar,34.08442,74.7991
udhampur,32.91978,75.12841
bokaro,23.66934,86.15161
chatra,24.20418,84.8719
deoghar,24.48909,86.6995
dhanbad,23.79596,86.43061
dumka,24.26838,87.24887
east singhbhum,22.59238,86.48341
garhwa,24.15887,83.80083
giridih,24.18711,86.30464
godda,24.83211,87.2073
gumla,23.04153,84.54301
hazaribagh,23.99885,85.36735
jamtara,23.96056,86.80218
khunti,22.98497625,85.25348492
koderma,24.48386,85.42703
latehar,23.7444,84.50814
lohardaga,23.46888714,84.65334205
pakur,24.63681,87.84719
palamu,24.20310622,84.16925521
ramgarh,25.29061,83.65032
ranchi,23.3507,85.31377
sahebganj,26.29745,84.92698
saraikela kharsawan,22.84530746,85.95109784
simdega,22.61049,84.50165
west singhbhum,22.5,85.5
bagalkote,16.18673,75.69614
ballari,15.14468,76.92893
belagavi,15.86704,74.51162
bengaluru rural,13.22323382,77.57396487
bengaluru urban,12.97129,77.6277
bidar,17.90802,77.51524
chamarajanagara,11.918,76.951
chikkaballapura,13.58063818,77.83711763
chikkamagaluru,13.32335,75.77362
chitradurga,14.22049,76.39956
dakshina kannada,12.86767344,75.25150721
davanagere,14.4593,75.91528
dharwad,15.45111,75.00517
gadag,15.43312,75.63545
hassan,13.00344,76.10322
haveri,14.79276,75.39635
kalaburagi,17.33282,76.84033
kodagu,12.32488393,75.80527847
kolar,13.13768,78.12999
koppal,15.32956,76.15266
mandya,12.52739,76.89468
mysuru,12.30902,76.65306
raichur,16.20546,77.35567
ramanagara,12.71533,77.27396
shivamogga,13.9448,75.56668
tumakuru,13.34054,77.10157
udupi,13.33694,74.74469
uttara kannada,14.78855323,74.62379899
vijayapura,16.8282,75.71352
yadgir,16.76094,77.13667
alappuzha,9.5013,76.33233
ernakulam,10.08405614,76.54629706
idukki,9.838750875,77.05881477
kannur,11.87482,75.37628
kasaragod,12.51143,74.98361
kollam,8.88686,76.59228
kottayam,9.59476,76.53296
kozhikode,11.2588,75.78094
malappuram,11.0429,76.08045
palakkad,10.77581,76.65813
pathanamthitta,9.26457,76.78669
thiruvananthapuram,8.50525,76.95144
thrissur,10.51082,76.21121
wayanad,11.71092904,76.08736764
kargil,34.55159,76.13059
leh ladakh,34.14473,77.55612
lakshadweep,11.14411888,72.048025
agar malwa,23.82502357,76.07296927
alirajpur,22.30594,74.35548
anuppur,23.11566,81.69611
ashoknagar,24.5761,77.73067
balaghat,21.81664,80.18473
barwani,22.03193,74.90409
betul,21.90316,77.90004
bhind,26.56707,78.78545
bhopal,23.26466,77.40521
burhanpur,21.30868,76.23026
chhatarpur,24.90855,79.59632
chhindwara,22.05697,78.93958
damoh,23.83571,79.44359
datia,25.66513,78.46092
dewas,22.96585,76.05526
dhar,22.59529,75.30061
dindori,22.947,81.07506
east nimar,21.89937662,76.55840047
guna,24.64643,77.3109
gwalior,26.22011,78.1762
harda,22.34385,77.08972
hoshangabad,22.74747,77.72736
indore,22.71622,75.86512
jabalpur,23.17416,79.93135
jhabua,22.76992,74.59749
katni,23.75129204,80.40825144
khargone,21.82574,75.6213
mandla,22.60958,80.37007
mandsaur,24.07259,75.066
morena,26.49052,77.98572
narsinghpur,22.94579,79.19627
neemuch,24.45854,74.86246
niwari,25.34976,78.8045
panna,24.70793,80.17652
raisen,23.33011,77.78448
rajgarh,24.00574,76.72716
ratlam,23.33033,75.04032
rewa,24.52611,81.30245
sagar,23.84315,78.74272
satna,24.5761,80.80066
sehore,23.20106,77.07711
seoni,22.08503,79.55037
shahdol,23.29266,81.35864
shajapur,23.41999,76.28085
sheopur,25.67335,76.69655
shivpuri,25.42378,77.66223
sidhi,24.40736,81.88261
singrauli,24.19468,82.6656
tikamgarh,24.74429,78.83302
ujjain,23.18088,75.78813
umaria,23.53065,80.82789
vidisha,23.52142,77.80641
ahmednagar,19.09211,74.73842
akola,20.70535,77.00218
amravati,20.93333,77.75
aurangabad,19.87016,75.346
beed,18.98957,75.75589
bhandara,21.17119,79.65631
buldhana,20.58333,76.41667
chandrapur,19.9665,79.29658
dhule,20.90286,74.7725
gadchiroli,20.18259,80.00617
gondia,21.45879,80.19625
hingoli,19.72169,77.15177
jalgaon,21.00292,75.56602
jalna,19.84102,75.88636
kolhapur,16.70448,74.24142
latur,18.39721,76.56784
mumbai,18.94018,72.83484
mumbai suburban,19.14312174,72.88110732
nagpur,21.15707,79.08209
nanded,19.15571,77.31096
nandurbar,21.36671,74.24051
nashik,19.99727,73.79096
osmanabad,18.1853,76.04073
palghar,19.70023,72.77104
parbhani,19.26078,76.77693
pune,18.50419,73.85286
raigad,18.51217,73.2234056
ratnagiri,16.99214,73.2919
sangli,16.85438,74.56417
satara,17.68589,73.99333
sindhudurg,16.13307387,73.73980786
solapur,17.65809,75.90678
thane,19.19704,72.96355
wardha,20.73542,78.59488
washim,20.10821,77.14092
yavatmal,20.39324,78.13201
bishnupur,23.06428,87.31048
chandel,24.33938,94.00621
churachandpur,24.34813,93.70104
imphal east,24.70859576,94.08027
imphal west,24.7711428,93.86550462
jiribam,24.80444,93.11855
kakching,24.49917,93.97953
kamjong,24.8174865,94.43295323
kangpokpi,25.00218546,93.94320165
noney,24.67800512,93.46002375
pherzawl,24.31935383,93.21384466
senapati,25.26867,94.02224
tamenglong,24.96538,93.49509
tengnoupal,24.38573,94.14758
thoubal,24.64331,93.99715
ukhrul,25.09836,94.36107
east garo hills,25.64193857,90.63532924
east jaintia hills,25.27287118,92.46524111
east khasi hills,25.38602412,91.81170472
north garo hills,25.87084688,90.69906329
ribhoi,25.87002496,91.88224842
south garo hills,25.30925714,90.57743606
south west garo hills,25.44557148,89.9501581
south west khasi hills,25.31754834,91.26426864
west garo hills,25.62913335,90.19132358
west jaintia hills,25.48379519,92.27506679
west khasi hills,25.57420408,91.11359169
aizawl,23.72894,92.71791
champhai,23.47809,93.3261
kolasib,24.22646,92.67939
lawngtlai,22.53189,92.89906
lunglei,22.87654,92.75184
mamit,23.7517257,92.45423831
saiha,22.49006,92.98032
serchhip,23.32583,92.85445
dimapur,25.91174,93.7217
kiphire,25.83437919,94.83506645
kohima,25.66288,94.09311
longleng,26.49461,94.82398
mokokchung,26.32325,94.51371
mon nagaland,26.72189,95.03025
peren,25.49866484,93.62136537
phek,25.64910075,94.54502422
tuensang,26.23347,94.81149
wokha,26.09274,94.25621
zunheboto,26.01599,94.52757
anugul,20.83925,85.10047
balangir,20.7064,83.48973
baleshwar,21.50096,86.91808
bargarh,21.33767,83.62123
bhadrak,21.06327,86.49953
boudh,20.83858,84.32236
cuttack,20.46653,85.89615
deogarh,25.5292,73.90812
dhenkanal,20.65297,85.59907
gajapati,19.17476522,84.16118689
ganjam,19.38765,85.05012
jagatsinghapur,20.26238,86.16382
jajapur,20.81768,86.34293
jharsuguda,21.86528,84.02454
kalahandi,19.86827798,83.10903938
kandhamal,20.12749474,84.04784113
kendrapara,20.50612,86.42107
kendujhar,21.63193,85.58506
khordha,20.17422,85.61388
koraput,18.81133,82.71254
malkangiri,18.35906,81.88701
mayurbhanj,21.8948951,86.41202693
nabarangpur,19.23114,82.54826
nayagarh,20.13129,85.12827
nuapada,20.77646,82.54623
puri,19.79825,85.82494
rayagada,19.17323,83.4122
sambalpur,21.46527,83.97573
sonepur,25.70599,85.1492
sundargarh,22.11958,84.04161
karaikal,10.92549,79.83228
mahe,11.69938,75.53452
puducherry,11.92993,79.8247
yanam,16.73042,82.22375
amritsar,31.63347,74.87507
barnala,30.37451,75.5487
bathinda,30.20747,74.93893
faridkot,30.65548,74.76948
fatehgarhsahib,30.6421632,76.37667752
fazilka,30.40896,74.03481
firozepur,30.92948,74.61748
gurdaspur,32.04088,75.40136
hoshiarpur,31.53723,75.91269
jalandhar,31.33081,75.59016
kapurthala,31.37775,75.39097
ludhiana,30.90726,75.8492
mansa punjab,29.99084,75.39997
moga,30.81892,75.1777
pathankot,32.27054,75.64904
patiala,30.33625,76.3922
rupnagar,30.97297,76.53273
sangrur,30.25108,75.83437
sas nagar,30.70346,76.69161
shahid bhagat singh nagar,31.1104745,76.15476279
sri muktsar sahib,30.46777,74.51819
tarn taran,31.45959,74.92212
ajmer,26.46554,74.63173
alwar,27.55619,76.61238
banswara,23.55173,74.44428
baran,25.09606,76.50895
barmer,25.75199,71.41381
bharatpur,27.21087,77.48153
bhilwara,25.34707,74.64081
bikaner,28.01649,73.31183
bundi,25.43425,75.6366
chittorgarh,24.88963,74.62403
churu,28.30415,74.96718
dausa,26.89966,76.33038
dholpur,26.69286,77.87968
dungarpur,23.84163,73.7144
ganganagar,29.92009,73.87496
hanumangar,29.58182,74.32938
jaipur,26.92591,75.80673
jaisalmer,26.91946,70.9143
jalore rajasthan,25.3488008,72.62502763
jhalawar,24.58979,76.16001
jhunjhunu,28.12564,75.4004
jodhpur,26.26694,73.03049
karauli,26.48425,77.01885
kota,25.16531,75.85126
nagaur,27.20166,73.73202
pali,25.77276,73.32335
rajasthan pratapgarh,24.03943,74.77771
rajsamand,25.05946,73.88316
sawai madhopur,26.02301,76.34408
sikar,27.61206,75.13996
sirohi,24.8903,72.85645
tonk,26.16113,75.78625
udaipur,24.58702,73.69845
east sikkim,27.33333,88.66667
north sikkim,27.66667,88.5
south sikkim,27.33333,88.41667
west sikkim,27.33333,88.25
ariyalur,11.13938,79.08428
chengalpattu,12.68225,79.98056
chennai,13.08376,80.28256
coimbatore,10.99415,76.96629
cuddalore,11.74515,79.75896
dharmapuri,18.94365,79.09492
dindigul,10.3621,77.96947
erode,11.34065,77.71723
kallakkurichi,11.73577,78.96306
kancheepuram,12.82425,79.70112
kanniyakumari,8.09948,77.51963
karur,10.95921,78.07722
krishnagiri,12.52646,78.21408
madurai,9.92418,78.12416
nagapattinam,10.7769,79.84062
namakkal,11.21941,78.16773
perambalur,11.2341,78.88024
pudukkottai,10.38518,78.79233
ramanathapuram,9.36025,78.83724
ranipet,12.95147655,79.47278252
salem,11.66553,78.15164
sivaganga,9.85021,78.4856
tenkasi,8.9635,77.30821
thanjavur,10.76864,79.12901
the nilgiris,11.45711776,76.64147526
theni,10.01019,77.47708
thiruvallur,13.12466,79.91844
thiruvarur,10.77342,79.63663
thoothukkudi,8.80627,78.14325
tiruchirappalli,10.80605,78.69476
tirunelveli,8.72641,77.7335
tirupathur,10.11108,78.60017
tiruppur,11.08942,77.36261
tiruvannamalai,12.23526,79.07481
vellore,12.91354,79.13249
viluppuram,11.9379,79.5019
virudhunagar,9.58919,77.95368
adilabad,19.67203,78.5359
bhadradri kothagudem,17.67072874,80.7063695
hyderabad,17.3949,78.47073
jagtial,18.78827,78.91405
jangaon,17.72323,79.16095
jaya shankar bhalupally,18.49444782,79.92289203
jogulamba gadwal,16.0737437,77.77441436
kamareddy,18.33272,78.34374
karimnagar,18.43915,79.12856
khammam,17.25163,80.15729
kumuram bheem asifabad,19.35648,79.28676
mahabubabad,17.59606,80.0008
mahbubnagar,16.74385,77.98597
mancherial,18.99744337,79.5193324
medak,18.04768,78.26682
medchalmalkajgiri,17.55068142,78.56167267
mulugu,18.2851723,80.33615172
nagarkurnool,16.48687,78.31276
nalgonda,17.0571,79.26849
narayanpet,16.74752,77.4959
nirmal,19.08685,78.33975
nizamabad,18.67154,78.0988
peddapalle,18.60945,79.38166
rajanna sircilla,18.41827932,78.77058762
rangareddy,17.13623259,78.41331406
sangareddy,17.62515,78.08236
siddipet,18.0191955,78.86362776
suryapet,17.15349,79.62007
vikarabad,17.25212196,77.74650056
wanaparthy,16.36144,78.06529
warangal rural,17.92133751,79.74942728
warangal urban,18.04393531,79.47208777
yadadri bhuvanagiri,17.50821,78.8781
dhalai,23.84497451,91.92689498
gomati,23.52065062,91.63393258
khowai,24.07104,91.6023
north tripura,24.10385526,92.20798421
sepahijala,23.60635,91.34328
south tripura,23.20130752,91.58261067
unakoti,24.19705283,92.03623462
westtripura,23.89030281,91.40253507
agra,27.19219,78.00005
aligarh,27.88636,78.07375
ambedkar nagar,26.420155,82.67087086
amethi,26.15687,81.80528
amroha,28.87696,78.46851
auraiya,26.46031,79.51097
ayodhya,26.79254,82.20021
azamgarh,26.06832,83.18358
baghpat,28.94517,77.22075
bahraich,27.57684,81.60251
ballia,25.75835,84.14805
balrampur uttar,27.43065,82.1802
banda,25.47758,80.33491
bara banki uttar,26.93864,81.3274
bareilly,28.35441,79.41633
basti,26.79684,82.73989
bhadohi,25.39452,82.56855
bijnor,29.3732,78.13565
budaun,28.03643,79.12301
bulandshahr,28.40974,77.85006
chandauli,25.26037,83.26768
chitrakoot,25.1783,80.86903
deoria,26.50249,83.77917
etah,27.57365,78.65228
etawah,26.77615,79.02133
farrukhabad,27.39134,79.5793
fatehpur,27.17326,81.21653
firozabad,27.15211,78.39466
gautam buddha nagar,28.36145,77.50703
ghaziabad,28.66535,77.43915
ghazipur,25.58333,83.58526
gonda,27.13582,81.95977
gorakhpur,26.75432,83.37554
hamirpur,25.96085,80.1453
hapur,28.72985,77.78068
hardoi,27.39491,80.13165
hathras,27.59551,78.05201
jalaun,26.1429,79.32559
jaunpur,25.74508,82.68237
jhansi,25.4486,78.56956
kannauj,27.03157,79.92119
kanpur dehat,26.43949624,79.859545
kanpur nagar,26.38798088,80.21174087
kasganj,27.81298,78.65017
kaushambi,25.4990444,81.41698342
kheri,27.90539,80.79879
kushinagar,26.75009,83.91439
lalitpur,24.69129,78.41379
lucknow,26.85471,80.92135
maharajganj,26.10972,84.50627
mahoba,25.29164,79.87111
mainpuri,27.22814,79.02501
mathura,27.49193,77.67407
maunath bhanjan,25.93854,83.56515
meerut,28.99862,77.70459
mirzapur,25.13432,82.56707
moradabad,28.83893,78.77684
muzaffarnagar,29.47046,77.70766
pilibhit,28.63124,79.80436
uttar pratapgarh,25.89549,81.94783
prayagraj,25.43609,81.84718
rae bareli,26.22099,81.25568
rampur,28.77825,79.02556
saharanpur,29.96569,77.54607
sambhal,28.58438,78.57182
sant kabeer nagar,26.78823292,83.02278689
shahjahanpur,27.85574,79.91809
shamli,29.44477,77.31707
shravasti,27.72125278,81.89989886
siddharthnagar,27.27337711,82.86332706
sitapur,27.56192,80.68265
sonbhadra,24.42203777,83.0622628
sultanpur,26.25824,82.0681
unnao,26.54706,80.48781
varanasi,25.33285,82.99658
almora,29.59681,79.65171
bageshwar,29.83572,79.77163
chamoli,30.49008282,79.57608479
champawat,29.33587,80.09072
dehradun,30.3097,78.0489
haridwar,29.94791,78.16025
nainital,29.39368,79.45178
pauri garhwal,29.87719326,78.76644127
pithoragarh,29.58519,80.21629
rudraprayag,30.28455,78.97742
tehri garhwal,30.43443606,78.53746063
udham singh nagar,29.03757377,79.48406367
uttarkashi,30.96856141,78.60750573
alipurduar,26.51644,89.53307
bankura,23.23241,87.0716
birbhum,23.95371749,87.66553993
dakshin dinajpur,25.36649512,88.57396563
darjiling,27.03937,88.26382
hooghly,22.90877,88.39674
howrah,22.59631,88.25608
jalpaiguri,26.51667,88.73333
jhargram,22.44972,86.99701
kalimpong,27.067,88.47008
koch bihar,26.31962,89.45454
kolkata,22.57059,88.37133
