model,mean_accuracy,std_accuracy,mean_f1_macro,std_f1_macro
RandomForest,0.9949999999999999,0.0026504326794751063,0.9949934532732992,0.0026529731253471453
XGBoost,0.9936363636363635,0.003910147848655733,0.993629248372509,0.00391462070363225
LightGBM,0.9918181818181818,0.0034015067152490534,0.991796093496992,0.0034452774298590594
DecisionTree,0.9877272727272727,0.006833316535624036,0.987724124399349,0.0068312533778423805
SVM,0.9836363636363638,0.004406981688560313,0.9835558184190161,0.004448301189443402
KNN,0.9713636363636363,0.006833316535624032,0.971212143367899,0.0068281170683592626
LogisticRegression,0.9713636363636363,0.0018181818181818078,0.9711892229318838,0.001803979532948272
